Neighborhood,All rentals,Studio,1 Bed,2 Beds,3 Beds
Hayes Valley,"$2,764","$1,993","$3,002","$5,152","$6,435"
Van Ness - Civic Center,"$2,808","$2,048","$2,983","$4,683","$6,472"
Tenderloin,"$2,808","$2,048","$2,983","$4,683","$6,472"
Downtown District 8 - North East,"$2,845","$2,079","$3,045","$4,624","$8,085"
Western Addition,"$2,874","$2,115","$2,993","$4,392","$5,611"
Marina,"$2,894","$2,161","$2,977","$4,348","$6,476"
Russian Hill,"$2,929","$2,174","$2,979","$4,555","$6,965"
Lower Pacific Heights,"$2,962","$2,227","$2,985","$4,101","$5,562"
Nob Hill,"$2,970","$2,207","$3,072","$4,476","$8,442"
Pacific Heights,"$2,975","$2,258","$2,995","$4,113","$5,562"
Noe Valley,"$3,120","$2,663","$2,822","$3,577","$4,637"
Stonestown,"$3,121","$2,450","$2,640","$3,397","$4,449"
Pine Lake Park,"$3,121","$2,450","$2,640","$3,397","$4,449"
Merced Manor,"$3,121","$2,450","$2,640","$3,397","$4,449"
Merced Heights,"$3,121","$2,450","$2,640","$3,397","$4,449"
Lakeside,"$3,121","$2,450","$2,640","$3,397","$4,449"
Lake Shore,"$3,121","$2,450","$2,640","$3,397","$4,449"
Ingleside Heights,"$3,121","$2,450","$2,640","$3,397","$4,449"
North Panhandle,"$3,183","$2,568","$3,031","$3,871","$4,690"
Alamo Square,"$3,183","$2,568","$3,031","$3,871","$4,690"
Telegraph Hill,"$3,241","$2,530","$3,055","$6,181","$17,000"
North Beach,"$3,241","$2,530","$3,055","$6,181","$17,000"
Anza Vista,"$3,249","$2,544","$3,099","$4,030","$5,128"
Midtown Terrace,"$3,320","$2,430","$2,967","$3,982","$4,637"
Glen Park,"$3,320","$2,430","$2,967","$3,982","$4,637"
Diamond Heights,"$3,320","$2,430","$2,967","$3,982","$4,637"
Forest Knolls,"$3,339","$2,430","$2,951","$4,209","$4,637"
Sunnyside,"$3,414","$2,565","$3,039","$4,087","$4,637"
Financial District - Barbary Coast,"$3,481","$2,675","$3,472","$4,876","$8,536"
Inner Mission,"$3,530","$3,008","$3,363","$4,464","$6,598"
Mission Dolores,"$3,557","$3,019","$3,369","$4,525","$6,598"
North Waterfront,"$3,587","$2,867","$3,403","$5,071","$6,515"
Twin Peaks,"$3,666","$2,915","$3,160","$4,623","$4,637"
South of Market,"$3,735","$2,879","$3,478","$4,708","$6,295"
Potrero Hill,"$3,735","$2,879","$3,478","$4,708","$6,295"
Lone Mountain,"$3,746","$2,300","$3,211","$5,837","$7,817"
Golden Gate Park,"$3,746","$2,300","$3,211","$5,837","$7,817"
Yerba Buena,"$3,873","$2,982","$3,554","$4,923","$6,646"
Central Waterfront - Dogpatch,"$3,899","$2,753","$3,598","$4,688","$5,899"
Presidio Heights,"$3,977","$2,300","$3,484","$6,741","$7,817"
Lake Street,"$3,977","$2,300","$3,484","$6,741","$7,817"
Jordan Park - Laurel Heights,"$3,977","$2,300","$3,484","$6,741","$7,817"
Inner Richmond,"$3,977","$2,300","$3,484","$6,741","$7,817"
Central Richmond,"$3,977","$2,300","$3,484","$6,741","$7,817"
South Beach,"$4,022","$2,936","$3,649","$4,949","$6,666"
Mission Bay,"$4,060","$3,276","$3,711","$4,797","$5,984"
