Neighborhood,All rentals,Studio,1 Bed,2 Beds,3 Beds
Hayes Valley,"$2,524","$2,081","$3,304","$4,915","$6,120"
Van Ness - Civic Center,"$2,595","$2,075","$3,103","$4,392","$5,626"
Tenderloin,"$2,595","$2,075","$3,103","$4,392","$5,626"
Downtown,"$2,600","$2,091","$3,127","$4,332","$7,309"
Western Addition,"$2,632","$2,126","$3,037","$4,452","$5,416"
Nob Hill,"$2,703","$2,157","$2,991","$3,956","$7,593"
Russian Hill,"$2,712","$2,138","$2,931","$4,029","$5,988"
Marina,"$2,716","$2,109","$2,923","$4,005","$5,569"
Lower Pacific Heights,"$2,727","$2,167","$2,858","$4,260","$5,389"
Pacific Heights,"$2,741","$2,195","$2,868","$4,252","$5,389"
Noe Valley,"$2,766","$2,413","$2,553","$3,250","$3,177"
Telegraph Hill,"$2,800","$2,586","$3,000","$4,208","$15,000"
North Beach,"$2,800","$2,586","$3,000","$4,208","$15,000"
Midtown Terrace,"$2,824","$2,450","$2,780","$3,695","$3,177"
Glen Park,"$2,824","$2,450","$2,780","$3,695","$3,177"
Diamond Heights,"$2,824","$2,450","$2,780","$3,695","$3,177"
North Panhandle,"$2,844","$2,484","$2,780","$4,567","$5,300"
Alamo Square,"$2,844","$2,484","$2,780","$4,567","$5,300"
Anza Vista,"$2,871","$2,458","$2,816","$4,752","$5,562"
Financial District - Barbary Coast,"$2,927","$2,599","$3,176","$4,280","$8,263"
Sunnyside,"$2,938","$2,555","$2,872","$3,900","$3,177"
Twin Peaks,"$2,974","$2,450","$2,844","$3,989","$3,177"
Forest Knolls,"$3,005","$2,450","$2,950","$3,873","$3,177"
North Waterfront,"$3,040","$2,807","$3,110","$4,451","$6,526"
Stonestown,"$3,135","$2,700","$2,400","$3,400","$4,198"
Pine Lake Park,"$3,135","$2,700","$2,400","$3,400","$4,198"
Merced Manor,"$3,135","$2,700","$2,400","$3,400","$4,198"
Merced Heights,"$3,135","$2,700","$2,400","$3,400","$4,198"
Lakeside,"$3,135","$2,700","$2,400","$3,400","$4,198"
Lake Shore,"$3,135","$2,700","$2,400","$3,400","$4,198"
Ingleside Heights,"$3,135","$2,700","$2,400","$3,400","$4,198"
Inner Mission,"$3,182","$3,010","$3,044","$4,195","$6,700"
Mission Dolores,"$3,192","$3,010","$3,045","$4,234","$6,700"
Lone Mountain,"$3,506","$2,200","$3,389","$5,789","$8,813"
Golden Gate Park,"$3,506","$2,200","$3,389","$5,789","$8,813"
Presidio Heights,"$3,521","$2,200","$3,521","$6,873","$8,813"
Lake Street,"$3,521","$2,200","$3,521","$6,873","$8,813"
Jordan Park - Laurel Heights,"$3,521","$2,200","$3,521","$6,873","$8,813"
Inner Richmond,"$3,521","$2,200","$3,521","$6,873","$8,813"
Central Richmond,"$3,521","$2,200","$3,521","$6,873","$8,813"
South of Market,"$3,538","$2,798","$3,237","$4,539","$6,192"
Potrero Hill,"$3,538","$2,798","$3,237","$4,539","$6,192"
Yerba Buena,"$3,628","$2,868","$3,319","$4,715","$6,516"
Central Waterfront - Dogpatch,"$3,797","$2,552","$3,472","$4,522","$5,765"
South Beach,"$3,818","$2,719","$3,447","$4,714","$6,454"
Mission Bay,"$3,871","$3,201","$3,687","$4,625","$7,000"
