Neighborhood,All rentals,Studio,1 Bed,2 Beds,3 Beds
Hayes Valley,"$2,800","$2,068","$3,013","$5,125","$6,412"
Van Ness - Civic Center,"$2,825","$2,101","$2,978","$4,665","$6,158"
Tenderloin,"$2,825","$2,101","$2,978","$4,665","$6,158"
Downtown District 8 - North East,"$2,841","$2,126","$2,994","$4,607","$7,895"
Marina,"$2,898","$2,180","$2,979","$4,341","$6,127"
Western Addition,"$2,909","$2,163","$2,983","$4,497","$5,933"
Russian Hill,"$2,931","$2,211","$3,002","$4,433","$6,401"
Nob Hill,"$2,942","$2,236","$3,022","$4,357","$8,110"
Lower Pacific Heights,"$2,998","$2,250","$2,975","$4,243","$5,904"
Pacific Heights,"$3,011","$2,275","$2,986","$4,264","$5,904"
Noe Valley,"$3,081","$2,680","$2,804","$3,498","$4,523"
Stonestown,"$3,158","$2,700","$2,784","$3,340","$4,449"
Pine Lake Park,"$3,158","$2,700","$2,784","$3,340","$4,449"
Merced Manor,"$3,158","$2,700","$2,784","$3,340","$4,449"
Merced Heights,"$3,158","$2,700","$2,784","$3,340","$4,449"
Lakeside,"$3,158","$2,700","$2,784","$3,340","$4,449"
Lake Shore,"$3,158","$2,700","$2,784","$3,340","$4,449"
Ingleside Heights,"$3,158","$2,700","$2,784","$3,340","$4,449"
Midtown Terrace,"$3,181","$2,541","$2,929","$3,506","$4,523"
Glen Park,"$3,181","$2,541","$2,929","$3,506","$4,523"
Diamond Heights,"$3,181","$2,541","$2,929","$3,506","$4,523"
Telegraph Hill,"$3,241","$2,625","$3,178","$5,382","$12,025"
North Beach,"$3,241","$2,625","$3,178","$5,382","$12,025"
Forest Knolls,"$3,295","$2,541","$3,066","$3,744","$4,523"
North Panhandle,"$3,298","$2,577","$3,042","$4,172","$5,692"
Alamo Square,"$3,298","$2,577","$3,042","$4,172","$5,692"
Sunnyside,"$3,327","$2,661","$3,027","$3,820","$4,523"
Financial District - Barbary Coast,"$3,343","$2,706","$3,223","$4,618","$8,630"
Anza Vista,"$3,355","$2,543","$3,067","$4,367","$6,117"
North Waterfront,"$3,481","$2,912","$3,253","$4,791","$6,701"
Twin Peaks,"$3,513","$2,996","$3,104","$4,221","$4,523"
Inner Mission,"$3,554","$3,080","$3,393","$4,495","$6,584"
Mission Dolores,"$3,576","$3,090","$3,395","$4,536","$6,584"
South of Market,"$3,774","$2,968","$3,491","$4,776","$6,284"
Potrero Hill,"$3,774","$2,968","$3,491","$4,776","$6,284"
Lone Mountain,"$3,845","$2,200","$3,403","$5,771","$8,729"
Golden Gate Park,"$3,845","$2,200","$3,403","$5,771","$8,729"
Yerba Buena,"$3,893","$3,068","$3,542","$4,962","$6,647"
Central Waterfront - Dogpatch,"$3,939","$2,841","$3,595","$4,760","$5,852"
South Beach,"$4,029","$3,028","$3,597","$4,979","$6,675"
Presidio Heights,"$4,032","$2,200","$3,494","$6,970","$8,729"
Lake Street,"$4,032","$2,200","$3,494","$6,970","$8,729"
Jordan Park - Laurel Heights,"$4,032","$2,200","$3,494","$6,970","$8,729"
Inner Richmond,"$4,032","$2,200","$3,494","$6,970","$8,729"
Central Richmond,"$4,032","$2,200","$3,494","$6,970","$8,729"
Mission Bay,"$4,100","$3,270","$3,750","$4,848","$6,000"
