Neighborhood,All rentals,Studio,1 Bed,2 Beds,3 Beds
Hayes Valley,"$2,787","$2,014","$3,030","$5,161","$6,435"
Van Ness - Civic Center,"$2,808","$2,060","$2,977","$4,670","$6,472"
Tenderloin,"$2,808","$2,060","$2,977","$4,670","$6,472"
Downtown District 8 - North East,"$2,845","$2,091","$3,040","$4,612","$8,085"
Western Addition,"$2,874","$2,127","$2,989","$4,383","$5,611"
Marina,"$2,877","$2,164","$2,948","$4,326","$6,476"
Russian Hill,"$2,907","$2,177","$2,954","$4,489","$6,965"
Lower Pacific Heights,"$2,949","$2,229","$2,963","$4,087","$5,562"
Nob Hill,"$2,951","$2,209","$3,050","$4,412","$8,442"
Pacific Heights,"$2,963","$2,260","$2,973","$4,099","$5,562"
Noe Valley,"$3,121","$2,663","$2,818","$3,577","$4,722"
Stonestown,"$3,121","$2,450","$2,640","$3,397","$4,449"
Pine Lake Park,"$3,121","$2,450","$2,640","$3,397","$4,449"
Merced Manor,"$3,121","$2,450","$2,640","$3,397","$4,449"
Merced Heights,"$3,121","$2,450","$2,640","$3,397","$4,449"
Lakeside,"$3,121","$2,450","$2,640","$3,397","$4,449"
Lake Shore,"$3,121","$2,450","$2,640","$3,397","$4,449"
Ingleside Heights,"$3,121","$2,450","$2,640","$3,397","$4,449"
North Panhandle,"$3,192","$2,568","$3,048","$3,878","$4,690"
Alamo Square,"$3,192","$2,568","$3,048","$3,878","$4,690"
Telegraph Hill,"$3,198","$2,530","$3,055","$5,783","$17,000"
North Beach,"$3,198","$2,530","$3,055","$5,783","$17,000"
Anza Vista,"$3,248","$2,544","$3,099","$4,027","$5,128"
Midtown Terrace,"$3,328","$2,430","$2,967","$3,982","$4,722"
Glen Park,"$3,328","$2,430","$2,967","$3,982","$4,722"
Diamond Heights,"$3,328","$2,430","$2,967","$3,982","$4,722"
Forest Knolls,"$3,389","$2,430","$3,005","$4,253","$4,722"
Sunnyside,"$3,419","$2,565","$3,039","$4,087","$4,722"
Financial District - Barbary Coast,"$3,469","$2,675","$3,472","$4,791","$8,536"
Inner Mission,"$3,545","$3,022","$3,384","$4,465","$6,598"
North Waterfront,"$3,570","$2,867","$3,403","$4,979","$6,515"
Mission Dolores,"$3,572","$3,033","$3,389","$4,526","$6,598"
Twin Peaks,"$3,668","$2,915","$3,154","$4,623","$4,722"
South of Market,"$3,742","$2,888","$3,490","$4,708","$6,295"
Potrero Hill,"$3,742","$2,888","$3,490","$4,708","$6,295"
Lone Mountain,"$3,797","$2,300","$3,283","$5,874","$7,817"
Golden Gate Park,"$3,797","$2,300","$3,283","$5,874","$7,817"
Yerba Buena,"$3,879","$2,988","$3,563","$4,923","$6,646"
Central Waterfront - Dogpatch,"$3,898","$2,753","$3,596","$4,688","$5,899"
Presidio Heights,"$3,969","$2,300","$3,484","$6,702","$7,817"
Lake Street,"$3,969","$2,300","$3,484","$6,702","$7,817"
Jordan Park - Laurel Heights,"$3,969","$2,300","$3,484","$6,702","$7,817"
Inner Richmond,"$3,969","$2,300","$3,484","$6,702","$7,817"
Central Richmond,"$3,969","$2,300","$3,484","$6,702","$7,817"
South Beach,"$4,021","$2,936","$3,646","$4,949","$6,666"
Mission Bay,"$4,060","$3,276","$3,711","$4,797","$5,984"
